,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
376,18 to 24 years,76,20248,20872,52,(B),(B),Less than 9th grade,2018
377,25 to 34 years,419,32303,33299,147,17663,18208,Less than 9th grade,2018
378,35 to 44 years,676,35185,36270,336,21231,21885,Less than 9th grade,2018
379,45 to 54 years,639,34580,35646,416,23333,24052,Less than 9th grade,2018
380,55 to 64 years,570,32904,33918,266,19993,20609,Less than 9th grade,2018
381,65 years and over,194,26937,27767,112,18814,19394,Less than 9th grade,2018
386,Total,2544,31270,33020,1388,20000,21119,Less than 9th grade,2017
387,18 to 24 years,102,23633,24955,51,(B),(B),Less than 9th grade,2017
388,25 to 34 years,436,26413,27891,177,15822,16707,Less than 9th grade,2017
389,35 to 44 years,675,32913,34755,324,19116,20186,Less than 9th grade,2017
390,45 to 54 years,592,33674,35558,416,21514,22718,Less than 9th grade,2017
391,55 to 64 years,549,32691,34520,299,20886,22055,Less than 9th grade,2017
392,65 years and over,190,29084,30711,121,24224,25579,Less than 9th grade,2017
397,Total,2547,31963,33752,1384,19564,20659,Less than 9th grade,2017
398,18 to 24 years,98,22505,23764,48,(B),(B),Less than 9th grade,2017
399,25 to 34 years,438,28039,29608,177,15755,16637,Less than 9th grade,2017
400,35 to 44 years,676,31661,33433,327,19778,20885,Less than 9th grade,2017
401,45 to 54 years,591,35730,37729,409,20712,21871,Less than 9th grade,2017
402,55 to 64 years,544,32913,34755,300,21039,22216,Less than 9th grade,2017
403,65 years and over,199,32515,34334,124,20003,21122,Less than 9th grade,2017
408,Total,2684,33923,36592,1357,22169,23913,Less than 9th grade,2016
409,18 to 24 years,132,23145,24966,43,(B),(B),Less than 9th grade,2016
410,25 to 34 years,445,38350,41367,182,15433,16647,Less than 9th grade,2016
411,35 to 44 years,767,33031,35629,326,19288,20805,Less than 9th grade,2016
412,45 to 54 years,652,34136,36821,373,20183,21771,Less than 9th grade,2016
413,55 to 64 years,459,35075,37834,311,29552,31877,Less than 9th grade,2016
414,65 years and over,229,31579,34063,122,17651,19040,Less than 9th grade,2016
419,Total,2889,31549,34470,1555,17924,19583,Less than 9th grade,2015
420,18 to 24 years,106,20569,22473,57,(B),(B),Less than 9th grade,2015
421,25 to 34 years,535,26907,29398,212,18113,19790,Less than 9th grade,2015
422,35 to 44 years,802,31642,34571,399,16654,18196,Less than 9th grade,2015
423,45 to 54 years,689,31019,33891,432,19714,21539,Less than 9th grade,2015
424,55 to 64 years,496,31864,34814,321,17580,19207,Less than 9th grade,2015
425,65 years and over,261,46053,50316,134,18924,20676,Less than 9th grade,2015
430,Total,2924,28490,31181,1564,20311,22230,Less than 9th grade,2014
431,18 to 24 years,163,17544,19201,76,9111,9972,Less than 9th grade,2014
432,25 to 34 years,539,27369,29954,180,15584,17056,Less than 9th grade,2014
433,35 to 44 years,843,28861,31587,441,17803,19485,Less than 9th grade,2014
434,45 to 54 years,691,29384,32160,426,17815,19498,Less than 9th grade,2014
435,55 to 64 years,480,31807,34811,300,30162,33011,Less than 9th grade,2014
436,65 years and over,209,27867,30499,140,26830,29364,Less than 9th grade,2014
441,Total,3131,25930,28860,1394,16214,18046,Less than 9th grade,2013
442,18 to 24 years,137,18280,20346,52,(B),(B),Less than 9th grade,2013
443,25 to 34 years,647,32226,35867,140,12613,14038,Less than 9th grade,2013
444,35 to 44 years,946,23342,25979,429,14990,16684,Less than 9th grade,2013
445,45 to 54 years,668,29301,32612,346,20098,22369,Less than 9th grade,2013
446,55 to 64 years,492,22992,25590,319,18210,20268,Less than 9th grade,2013
447,65 years and over,242,20223,22508,108,9992,11121,Less than 9th grade,2013
452,Total,3005,27324,30411,1473,16630,18509,Less than 9th grade,2013
453,18 to 24 years,199,18328,20399,66,(B),(B),Less than 9th grade,2013
454,25 to 34 years,546,23795,26484,258,15646,17414,Less than 9th grade,2013
455,35 to 44 years,820,27234,30311,338,16481,18343,Less than 9th grade,2013
456,45 to 54 years,763,32418,36081,402,18081,20124,Less than 9th grade,2013
457,55 to 64 years,482,27934,31090,300,16739,18630,Less than 9th grade,2013
458,65 years and over,195,25317,28178,109,17773,19781,Less than 9th grade,2013
463,Total,2934,24641,27832,1440,16896,19084,Less than 9th grade,2012
464,18 to 24 years,192,18918,21368,60,(B),(B),Less than 9th grade,2012
465,25 to 34 years,638,21172,23913,243,13930,15734,Less than 9th grade,2012
466,35 to 44 years,784,25685,29011,335,18288,20656,Less than 9th grade,2012
467,45 to 54 years,666,25493,28794,387,16640,18795,Less than 9th grade,2012
468,55 to 64 years,415,29352,33153,310,19204,21691,Less than 9th grade,2012
469,65 years and over,240,24508,27681,104,16357,18475,Less than 9th grade,2012
474,Total,2930,24711,28502,1571,15379,17738,Less than 9th grade,2011
475,18 to 24 years,178,17910,20657,78,10523,12137,Less than 9th grade,2011
476,25 to 34 years,621,21239,24497,257,13570,15652,Less than 9th grade,2011
477,35 to 44 years,769,24972,28803,387,14934,17225,Less than 9th grade,2011
478,45 to 54 years,770,27630,31869,416,17524,20212,Less than 9th grade,2011
479,55 to 64 years,373,28981,33427,302,15593,17985,Less than 9th grade,2011
480,65 years and over,219,21636,24955,131,15828,18256,Less than 9th grade,2011
485,Total,2977,23861,28389,1556,14986,17830,Less than 9th grade,2010
486,18 to 24 years,219,16503,19635,81,8288,9861,Less than 9th grade,2010
487,25 to 34 years,718,20228,24067,254,14477,17224,Less than 9th grade,2010
488,35 to 44 years,748,23897,28432,380,14580,17347,Less than 9th grade,2010
489,45 to 54 years,621,29205,34747,443,15184,18065,Less than 9th grade,2010
490,55 to 64 years,409,25773,30664,267,17716,21078,Less than 9th grade,2010
