,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
599,45 to 54 years,676,22651,34142,426,16099,24266,Less than 9th grade,2000
600,55 to 64 years,528,22218,33490,287,14875,22421,Less than 9th grade,2000
601,65 years and over,294,15271,23018,153,8765,13212,Less than 9th grade,2000
606,Total,3404,18497,28827,1836,12446,19397,Less than 9th grade,1999
607,18 to 24 years,422,12944,20173,126,9975,15546,Less than 9th grade,1999
608,25 to 34 years,735,17594,27420,364,12859,20040,Less than 9th grade,1999
609,35 to 44 years,770,21328,33239,474,13253,20654,Less than 9th grade,1999
610,45 to 54 years,646,21000,32728,432,12950,20182,Less than 9th grade,1999
611,55 to 64 years,520,20304,31643,279,14142,22040,Less than 9th grade,1999
612,65 years and over,310,12917,20131,161,6780,10566,Less than 9th grade,1999
617,Total,3088,19389,30860,1690,13042,20758,Less than 9th grade,1998
618,18 to 24 years,290,22210,35351,119,7516,11963,Less than 9th grade,1998
619,25 to 34 years,633,15269,24303,296,10878,17314,Less than 9th grade,1998
620,35 to 44 years,753,19396,30872,438,13550,21567,Less than 9th grade,1998
621,45 to 54 years,652,23382,37216,419,13861,22062,Less than 9th grade,1998
622,55 to 64 years,484,22796,36283,254,12260,19514,Less than 9th grade,1998
623,65 years and over,276,10457,16644,164,18744,29834,Less than 9th grade,1998
628,Total,3281,18420,29715,1766,10296,16610,Less than 9th grade,1997
629,18 to 24 years,287,9989,16114,142,6207,10013,Less than 9th grade,1997
630,25 to 34 years,727,15841,25555,307,9326,15045,Less than 9th grade,1997
631,35 to 44 years,738,21202,34203,429,10245,16527,Less than 9th grade,1997
632,45 to 54 years,687,19428,31341,437,11875,19157,Less than 9th grade,1997
633,55 to 64 years,517,22348,36052,270,13050,21052,Less than 9th grade,1997
634,65 years and over,324,16944,27334,181,7367,11884,Less than 9th grade,1997
639,Total,3469,16540,27259,1687,10414,17163,Less than 9th grade,1996
640,18 to 24 years,305,9927,16360,122,6383,10520,Less than 9th grade,1996
641,25 to 34 years,696,16529,27241,288,8788,14483,Less than 9th grade,1996
642,35 to 44 years,768,16330,26913,384,11517,18981,Less than 9th grade,1996
643,45 to 54 years,681,18753,30906,406,11653,19205,Less than 9th grade,1996
644,55 to 64 years,666,17457,28770,304,11935,19670,Less than 9th grade,1996
645,65 years and over,353,16747,27600,184,8079,13315,Less than 9th grade,1996
650,Total,3463,15720,26598,1777,9696,16405,Less than 9th grade,1995
651,18 to 24 years,329,11925,20177,134,5717,9673,Less than 9th grade,1995
652,25 to 34 years,674,13292,22490,326,9302,15739,Less than 9th grade,1995
653,35 to 44 years,810,16431,27801,411,10805,18282,Less than 9th grade,1995
654,45 to 54 years,617,17331,29323,394,10225,17300,Less than 9th grade,1995
655,55 to 64 years,657,19158,32415,335,11199,18948,Less than 9th grade,1995
656,65 years and over,376,13211,22353,178,6867,11619,Less than 9th grade,1995
661,Total,3431,17440,30219,1774,8970,15543,Less than 9th grade,1994
662,18 to 24 years,376,9416,16315,133,6597,11431,Less than 9th grade,1994
663,25 to 34 years,786,22905,39688,304,9075,15724,Less than 9th grade,1994
664,35 to 44 years,732,14632,25353,374,9394,16277,Less than 9th grade,1994
665,45 to 54 years,657,20369,35294,401,10294,17837,Less than 9th grade,1994
666,55 to 64 years,559,19561,33894,356,9345,16192,Less than 9th grade,1994
667,65 years and over,322,10194,17663,205,6339,10984,Less than 9th grade,1994
672,Total,3475,13889,24568,1798,8487,15013,Less than 9th grade,1993
673,18 to 24 years,355,9295,16442,129,5468,9672,Less than 9th grade,1993
674,25 to 34 years,751,12281,21724,309,7887,13951,Less than 9th grade,1993
675,35 to 44 years,713,14284,25267,376,9114,16122,Less than 9th grade,1993
676,45 to 54 years,669,17149,30335,397,9998,17686,Less than 9th grade,1993
677,55 to 64 years,618,17974,31794,352,9292,16437,Less than 9th grade,1993
678,65 years and over,370,8072,14279,235,6178,10928,Less than 9th grade,1993
683,Total,3661,14160,25679,1814,8677,15736,Less than 9th grade,1992
684,18 to 24 years,345,8253,14967,127,5523,10016,Less than 9th grade,1992
685,25 to 34 years,824,11395,20665,310,8224,14914,Less than 9th grade,1992
686,35 to 44 years,686,15225,27611,438,9468,17170,Less than 9th grade,1992
687,45 to 54 years,697,17761,32210,332,10763,19519,Less than 9th grade,1992
688,55 to 64 years,707,18683,33882,360,8777,15917,Less than 9th grade,1992
689,65 years and over,403,8906,16151,247,6525,11833,Less than 9th grade,1992
694,Total,3635,14023,26063,1863,8155,15157,Less than 9th grade,1991
695,18 to 24 years,292,8961,16655,135,5160,9590,Less than 9th grade,1991
696,25 to 34 years,751,12148,22578,341,8514,15824,Less than 9th grade,1991
697,35 to 44 years,658,15295,28427,394,8530,15854,Less than 9th grade,1991
698,45 to 54 years,706,16837,31293,380,9593,17830,Less than 9th grade,1991
699,55 to 64 years,805,17517,32557,346,8602,15988,Less than 9th grade,1991
700,65 years and over,424,7529,13993,266,6021,11191,Less than 9th grade,1991
706,Total,4338,31014,31014,2830,20380,20380,Less than 9th grade,2020
707,18 to 24 years,943,12957,12957,735,11987,11987,Less than 9th grade,2020
708,25 to 34 years,817,30264,30264,464,21018,21018,Less than 9th grade,2020
709,35 to 44 years,1014,35513,35513,534,24490,24490,Less than 9th grade,2020
710,45 to 54 years,701,39253,39253,473,23062,23062,Less than 9th grade,2020
711,55 to 64 years,649,42825,42825,429,25668,25668,Less than 9th grade,2020
712,65 years and over,214,29266,29266,196,21100,21100,Less than 9th grade,2020
717,Total,4624,33775,34196,3029,21919,22192,Less than 9th grade,2019
718,18 to 24 years,996,14689,14872,768,10578,10710,Less than 9th grade,2019
719,25 to 34 years,802,30617,30999,486,24654,24962,Less than 9th grade,2019
720,35 to 44 years,971,39658,40153,547,25844,26167,Less than 9th grade,2019
721,45 to 54 years,856,43937,44486,508,27518,27862,Less than 9th grade,2019
722,55 to 64 years,759,42545,43076,511,26518,26849,Less than 9th grade,2019
723,65 years and over,240,35756,36203,208,22093,22369,Less than 9th grade,2019
728,Total,4947,31246,32209,3209,18472,19041,Less than 9th grade,2018
729,18 to 24 years,1034,13080,13483,840,9557,9852,Less than 9th grade,2018
730,25 to 34 years,963,32427,33427,522,18031,18587,Less than 9th grade,2018
731,35 to 44 years,1029,38250,39429,608,21457,22118,Less than 9th grade,2018
732,45 to 54 years,917,35687,36787,560,24015,24755,Less than 9th grade,2018
733,55 to 64 years,750,38960,40161,500,23197,23912,Less than 9th grade,2018
734,65 years and over,253,33565,34600,179,20915,21560,Less than 9th grade,2018
739,Total,5077,30813,32537,3236,18821,19874,Less than 9th grade,2017
740,18 to 24 years,972,13099,13832,817,9655,10195,Less than 9th grade,2017
741,25 to 34 years,1082,29443,31091,504,20774,21936,Less than 9th grade,2017
742,35 to 44 years,1050,37369,39460,595,21430,22629,Less than 9th grade,2017
743,45 to 54 years,964,37522,39622,616,22484,23742,Less than 9th grade,2017
744,55 to 64 years,702,36786,38844,519,23486,24800,Less than 9th grade,2017
745,65 years and over,307,34585,36520,186,20327,21464,Less than 9th grade,2017
750,Total,5051,31549,33314,3259,18597,19638,Less than 9th grade,2017
751,18 to 24 years,991,14862,15694,826,8038,8488,Less than 9th grade,2017
752,25 to 34 years,1082,31399,33156,514,20170,21299,Less than 9th grade,2017
753,35 to 44 years,1031,35693,37690,582,22012,23244,Less than 9th grade,2017
754,45 to 54 years,948,38342,40487,622,23548,24866,Less than 9th grade,2017
755,55 to 64 years,688,39558,41771,529,23549,24867,Less than 9th grade,2017
756,65 years and over,311,33096,34948,185,19789,20896,Less than 9th grade,2017
761,Total,5011,31682,34174,3229,19052,20551,Less than 9th grade,2016
762,18 to 24 years,1057,12408,13384,761,7968,8595,Less than 9th grade,2016
763,25 to 34 years,1058,29352,31661,568,17481,18856,Less than 9th grade,2016
764,35 to 44 years,1011,39718,42842,636,23061,24875,Less than 9th grade,2016
765,45 to 54 years,1002,37616,40575,590,22689,24474,Less than 9th grade,2016
766,55 to 64 years,638,43169,46565,471,26926,29044,Less than 9th grade,2016
767,65 years and over,246,37580,40536,201,23634,25493,Less than 9th grade,2016
772,Total,5321,29514,32246,3395,16812,18368,Less than 9th grade,2015
773,18 to 24 years,1127,11842,12938,854,7253,7924,Less than 9th grade,2015
774,25 to 34 years,1140,28636,31287,644,16282,17789,Less than 9th grade,2015
775,35 to 44 years,1023,35725,39032,629,18068,19741,Less than 9th grade,2015
776,45 to 54 years,1095,34947,38182,636,23592,25776,Less than 9th grade,2015
777,55 to 64 years,696,39812,43498,442,23112,25252,Less than 9th grade,2015
778,65 years and over,240,35570,38863,189,20114,21976,Less than 9th grade,2015
783,Total,5332,30236,33092,3377,16806,18393,Less than 9th grade,2014
784,18 to 24 years,994,14719,16109,869,7150,7825,Less than 9th grade,2014
785,25 to 34 years,1220,28460,31148,617,15820,17314,Less than 9th grade,2014
786,35 to 44 years,1124,37433,40969,607,19384,21215,Less than 9th grade,2014
787,45 to 54 years,1040,36111,39522,641,22522,24649,Less than 9th grade,2014
788,55 to 64 years,721,35961,39358,453,23619,25850,Less than 9th grade,2014
789,65 years and over,232,27072,29629,190,20437,22367,Less than 9th grade,2014
794,Total,4835,24288,27032,3283,22077,24572,Less than 9th grade,2013
795,18 to 24 years,963,8983,9998,813,7199,8012,Less than 9th grade,2013
796,25 to 34 years,1151,23750,26434,538,14388,16014,Less than 9th grade,2013
797,35 to 44 years,1009,30068,33465,634,16344,18191,Less than 9th grade,2013
798,45 to 54 years,971,29716,33074,671,31515,35076,Less than 9th grade,2013
799,55 to 64 years,444,35414,39416,435,55790,62094,Less than 9th grade,2013
800,65 years and over,297,21942,24421,193,16286,18126,Less than 9th grade,2013
805,Total,5281,27735,30869,3203,17118,19052,Less than 9th grade,2013
806,18 to 24 years,1058,10235,11391,700,7796,8677,Less than 9th grade,2013
807,25 to 34 years,1238,26462,29452,667,15519,17273,Less than 9th grade,2013
808,35 to 44 years,1079,30417,33854,625,19313,21495,Less than 9th grade,2013
809,45 to 54 years,1048,35140,39111,640,20415,22722,Less than 9th grade,2013
810,55 to 64 years,591,43294,48186,367,28262,31455,Less than 9th grade,2013
811,65 years and over,266,28674,31914,203,17208,19152,Less than 9th grade,2013
816,Total,5249,25130,28384,3407,15614,17636,Less than 9th grade,2012
817,18 to 24 years,1099,10800,12198,763,6880,7771,Less than 9th grade,2012
818,25 to 34 years,1260,25787,29126,709,14710,16615,Less than 9th grade,2012
819,35 to 44 years,1050,28601,32304,654,21911,24748,Less than 9th grade,2012
820,45 to 54 years,1056,30764,34747,604,18307,20677,Less than 9th grade,2012
821,55 to 64 years,506,29600,33433,399,21024,23746,Less than 9th grade,2012
822,65 years and over,279,36087,40760,278,13454,15196,Less than 9th grade,2012
827,Total,5430,25395,29291,3663,14327,16525,Less than 9th grade,2011
828,18 to 24 years,1203,9475,10929,854,6221,7175,Less than 9th grade,2011
829,25 to 34 years,1249,24637,28416,686,14134,16302,Less than 9th grade,2011
830,35 to 44 years,1083,29905,34493,697,18048,20817,Less than 9th grade,2011
831,45 to 54 years,1048,33335,38449,694,18346,21160,Less than 9th grade,2011
832,55 to 64 years,554,35996,41518,476,17353,20015,Less than 9th grade,2011
833,65 years and over,293,28849,33275,257,15217,17551,Less than 9th grade,2011
838,Total,5451,24941,29674,3556,14947,17783,Less than 9th grade,2010
839,18 to 24 years,1213,10503,12496,881,6763,8046,Less than 9th grade,2010
840,25 to 34 years,1267,22660,26960,663,13640,16228,Less than 9th grade,2010
841,35 to 44 years,1102,30474,36257,661,17346,20638,Less than 9th grade,2010
842,45 to 54 years,1058,32882,39122,696,18843,22419,Less than 9th grade,2010
843,55 to 64 years,585,35369,42081,458,22634,26929,Less than 9th grade,2010
844,65 years and over,226,24144,28726,197,16287,19378,Less than 9th grade,2010
849,Total,5841,23877,28877,3685,15414,18642,Less than 9th grade,2009
850,18 to 24 years,1317,9644,11663,898,6657,8051,Less than 9th grade,2009
851,25 to 34 years,1442,21987,26591,721,15107,18270,Less than 9th grade,2009
852,35 to 44 years,1248,32723,39575,701,18287,22116,Less than 9th grade,2009
853,45 to 54 years,1092,29597,35794,708,20436,24715,Less than 9th grade,2009
854,55 to 64 years,521,32002,38703,432,21274,25729,Less than 9th grade,2009
855,65 years and over,221,23618,28563,224,15344,18557,Less than 9th grade,2009
860,Total,6355,25317,30512,3976,14117,17014,Less than 9th grade,2008
861,18 to 24 years,1529,11608,13990,1004,6754,8140,Less than 9th grade,2008
862,25 to 34 years,1488,25228,30404,737,13512,16284,Less than 9th grade,2008
863,35 to 44 years,1315,29823,35942,781,16723,20154,Less than 9th grade,2008
864,45 to 54 years,1178,32905,39657,744,19041,22948,Less than 9th grade,2008
865,55 to 64 years,568,37395,45068,441,18883,22758,Less than 9th grade,2008
866,65 years and over,277,23095,27834,269,14269,17197,Less than 9th grade,2008
871,Total,6483,25118,31435,4018,15012,18787,Less than 9th grade,2007
872,18 to 24 years,1611,12193,15259,1035,7810,9774,Less than 9th grade,2007
873,25 to 34 years,1554,25498,31910,784,14764,18477,Less than 9th grade,2007
874,35 to 44 years,1294,30272,37885,811,19102,23906,Less than 9th grade,2007
875,45 to 54 years,1180,32052,40112,666,19555,24473,Less than 9th grade,2007
876,55 to 64 years,569,33195,41543,460,18261,22853,Less than 9th grade,2007
877,65 years and over,275,27976,35011,261,14286,17879,Less than 9th grade,2007
882,Total,7004,24499,31529,4398,15170,19523,Less than 9th grade,2006
883,18 to 24 years,1693,10974,14123,1179,7522,9681,Less than 9th grade,2006
884,25 to 34 years,1640,25581,32922,840,15078,19405,Less than 9th grade,2006
885,35 to 44 years,1474,27642,35574,827,19333,24881,Less than 9th grade,2006
886,45 to 54 years,1247,31988,41168,794,19647,25285,Less than 9th grade,2006
887,55 to 64 years,654,35901,46203,521,19275,24806,Less than 9th grade,2006
888,65 years and over,295,23476,30213,237,15007,19314,Less than 9th grade,2006
893,Total,6651,23672,31453,4347,14292,18990,Less than 9th grade,2005
894,18 to 24 years,1707,11580,15386,1162,6763,8986,Less than 9th grade,2005
895,25 to 34 years,1544,24474,32518,826,15955,21199,Less than 9th grade,2005
896,35 to 44 years,1397,27255,36213,826,17266,22941,Less than 9th grade,2005
897,45 to 54 years,1172,30319,40284,813,19209,25523,Less than 9th grade,2005
898,55 to 64 years,591,35862,47649,507,16972,22550,Less than 9th grade,2005
899,65 years and over,240,21204,28173,214,12228,16247,Less than 9th grade,2005
904,Total,6553,22813,31338,4455,13519,18571,Less than 9th grade,2004
905,18 to 24 years,1683,12421,17063,1256,7427,10202,Less than 9th grade,2004
906,25 to 34 years,1567,23759,32638,882,14345,19706,Less than 9th grade,2004
907,35 to 44 years,1367,27692,38040,830,17159,23571,Less than 9th grade,2004
908,45 to 54 years,1029,28980,39810,788,17933,24634,Less than 9th grade,2004
909,55 to 64 years,633,28664,39376,460,16274,22355,Less than 9th grade,2004
910,65 years and over,274,20185,27728,240,10016,13759,Less than 9th grade,2004
915,Total,6726,21818,30781,4429,13767,19423,Less than 9th grade,2003
916,18 to 24 years,1924,10719,15122,1195,7282,10273,Less than 9th grade,2003
917,25 to 34 years,1482,23189,32715,870,13910,19624,Less than 9th grade,2003
918,35 to 44 years,1492,26926,37987,962,17930,25296,Less than 9th grade,2003
919,45 to 54 years,920,29269,41293,687,17873,25215,Less than 9th grade,2003
920,55 to 64 years,629,29967,42278,467,16890,23829,Less than 9th grade,2003
921,65 years and over,279,20791,29332,247,11100,15660,Less than 9th grade,2003
926,Total,7086,22618,32634,4655,13302,19193,Less than 9th grade,2002
927,18 to 24 years,1927,11628,16777,1339,7021,10130,Less than 9th grade,2002
928,25 to 34 years,1557,23823,34373,863,13754,19845,Less than 9th grade,2002
929,35 to 44 years,1573,29131,42032,1001,15690,22638,Less than 9th grade,2002
930,45 to 54 years,1068,25488,36775,743,17766,25634,Less than 9th grade,2002
931,55 to 64 years,677,31631,45639,516,18021,26002,Less than 9th grade,2002
932,65 years and over,285,22228,32072,193,12634,18229,Less than 9th grade,2002
937,Total,7026,22096,32384,4852,15017,22009,Less than 9th grade,2001
938,18 to 24 years,2082,10976,16086,1475,9582,14043,Less than 9th grade,2001
939,25 to 34 years,1514,23388,34277,869,21235,31122,Less than 9th grade,2001
940,35 to 44 years,1492,28050,41110,1013,15761,23099,Less than 9th grade,2001
941,45 to 54 years,936,28469,41724,714,17366,25451,Less than 9th grade,2001
942,55 to 64 years,696,30630,44891,540,15755,23090,Less than 9th grade,2001
943,65 years and over,306,23425,34331,241,14125,20701,Less than 9th grade,2001
948,Total,7016,21406,32266,5030,12317,18566,Less than 9th grade,2000
949,18 to 24 years,2118,10049,15147,1490,6688,10081,Less than 9th grade,2000
950,25 to 34 years,1470,21658,32645,965,13982,21075,Less than 9th grade,2000
951,35 to 44 years,1492,26417,39819,1048,15492,23351,Less than 9th grade,2000
952,45 to 54 years,918,34382,51825,749,15778,23782,Less than 9th grade,2000
953,55 to 64 years,691,29648,44689,510,15294,23053,Less than 9th grade,2000
954,65 years and over,326,17123,25810,268,9864,14868,Less than 9th grade,2000
959,Total,6890,18904,29461,5093,12116,18882,Less than 9th grade,1999
960,18 to 24 years,2132,9289,14477,1538,6852,10679,Less than 9th grade,1999
961,25 to 34 years,1492,19662,30642,924,13140,20478,Less than 9th grade,1999
962,35 to 44 years,1431,24069,37511,1071,13142,20481,Less than 9th grade,1999
963,45 to 54 years,864,26330,41034,767,14862,23162,Less than 9th grade,1999
964,55 to 64 years,669,28798,44881,544,19989,31152,Less than 9th grade,1999
965,65 years and over,302,15365,23946,250,10762,16772,Less than 9th grade,1999
970,Total,6997,19052,30324,4967,10778,17155,Less than 9th grade,1998
971,18 to 24 years,2078,8983,14298,1431,5776,9193,Less than 9th grade,1998
972,25 to 34 years,1516,20062,31932,927,10844,17260,Less than 9th grade,1998
973,35 to 44 years,1565,23660,37658,1074,14086,22420,Less than 9th grade,1998
974,45 to 54 years,895,27284,43427,742,14382,22891,Less than 9th grade,1998
975,55 to 64 years,711,27456,43700,562,13097,20846,Less than 9th grade,1998
976,65 years and over,231,14036,22340,231,8919,14196,Less than 9th grade,1998
981,Total,7067,20110,32442,4848,10881,17553,Less than 9th grade,1997
982,18 to 24 years,1965,9147,14756,1274,5223,8426,Less than 9th grade,1997
983,25 to 34 years,1525,20424,32948,851,11667,18821,Less than 9th grade,1997
984,35 to 44 years,1578,22935,36999,1022,13282,21427,Less than 9th grade,1997
985,45 to 54 years,1055,29477,47552,759,14276,23030,Less than 9th grade,1997
